,Timestamp,"//*[@data-m=""{""cN"":""Folie 1-Surface Pro 8 anzeigen"",""bhvr"":2,""id"":""nn1m1r1a2"",""sN"":1,""aN"":""m1r1a2""}""]_RELOC","xpath//*[@id=""StoreLocations-HighlightHero-cjfjcfv""]/div/div/div/div/div/button_SEL","//*[@data-m=""{""cN"":""More_Software_Skype_cont"",""cT"":""Container"",""id"":""c5c7c2c1c7c3m1r1a1"",""sN"":5,""aN"":""c7c2c1c7c3m1r1a1""}""]_RELOC",class namejs-nav-menu_SEL,"xpath//*[@id=""uhf-c-nav""]/ul/li/div/ul/li[2]/ul/li[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" c-w0-contr "")]_RELOC",class namec-w0-contr_SEL,"xpath//*[@id=""uhf-c-nav""]/ul/li/div/ul/li_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" c-action-trigger "")]_RELOC",class namec-action-trigger_SEL,"xpath//*[@id=""coreui-universalheader-o7z1gqh""]/header/div/div/div/button[2]_SEL","//*[@aria-label=""Windows 365 Cloud-PC kaufen""]/span[1]_RELOC","xpath//*[@id=""coreui-contentplacement-r9h8jv2""]/div[2]/div/div[2]/div[2]/section/a/span_SEL","//*[@id=""coreui-contentplacement-q23hezc""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" m-content-placement "")][1]_RELOC",class namem-content-placement_SEL,"xpath//*[@id=""coreui-contentplacement-q23hezc""]/div[2]_SEL","//*[@id=""coreui-contentplacement-r9h8jv2""]//*[@data-grid=""col-12 stack-3""]/div[1]_RELOC","xpath//*[@id=""coreui-contentplacement-r9h8jv2""]/div[2]/div/div_SEL","//*[@data-m=""{""cN"":""Surface Earbuds kaufen"",""cT"":""Container"",""id"":""c3m1r2a2"",""sN"":3,""aN"":""m1r2a2""}""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-paragraph "")][1]/p[1]_RELOC","xpath//*[@id=""coreui-contentplacement-q23hezc""]/div[2]/div/div[2]/div/section/div/p_SEL","//*[@data-m=""{""cN"":""Pause"",""bhvr"":2,""id"":""nn3m1r1a2"",""sN"":3,""aN"":""m1r1a2""}""]_RELOC",class namec-action-toggle_SEL,"xpath//*[@id=""StoreLocations-HighlightHero-cjfjcfv""]/div/div/div/div/button_SEL","//*[@data-m=""{""cN"":""Windows 365 Cloud-PC kaufen"",""cT"":""Container"",""id"":""c4m1r4a2"",""sN"":4,""aN"":""m1r4a2""}""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-paragraph "")][1]/p[1]_RELOC","xpath//*[@id=""coreui-contentplacement-r9h8jv2""]/div[2]/div/div[2]/div[2]/section/div/p_SEL","//*[@data-m=""{""pid"":""Show additional social media links"",""id"":""nn3m1r5a2"",""sN"":3,""aN"":""m1r5a2""}""]_RELOC",class namec-glyph_SEL,"xpath//*[@id=""coreui-socialfollow-rm1cuuw""]/section/button_SEL","//*[@data-m=""{""cN"":""footerNavColumn6_cont"",""cT"":""Container"",""id"":""c6c1c1m1r1a3"",""sN"":6,""aN"":""c1c1m1r1a3""}""]/ul[1]/li[6]_RELOC","xpath//*[@id=""uhf-footer""]/nav/div[2]/div[3]/ul/li[6]_SEL","//*[@data-m=""{""cN"":""More_DeveloperAndIT_HoloLens2_cont"",""cT"":""Container"",""id"":""c7c11c2c1c7c3m1r1a1"",""sN"":7,""aN"":""c11c2c1c7c3m1r1a1""}""]_RELOC","xpath//*[@id=""uhf-c-nav""]/ul/li/div/ul/li[6]/ul/li[5]_SEL","//*[@id=""primaryR1""]_RELOC",idprimaryR1_SEL,"xpath//*[@id=""primaryR1""]_SEL","//*[@id=""coreui-contentplacement-q23hezc""]//*[@data-grid=""col-12 stack-3""]/div[1]_RELOC","xpath//*[@id=""coreui-contentplacement-q23hezc""]/div[2]/div/div_SEL","//*[@id=""uhf-navspn-shellmenu_33-span""]_RELOC",iduhf-navspn-shellmenu_33-span_SEL,"xpath//*[@id=""uhf-navspn-shellmenu_33-span""]_SEL","//*[@data-m=""{""cT"":""Container"",""id"":""c9c2c1c7c3m1r1a1"",""sN"":9,""aN"":""c2c1c7c3m1r1a1""}""]_RELOC",class namef-sub-menu_SEL,"xpath//*[@id=""uhf-c-nav""]/ul/li/div/ul/li[4]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" c-uhf-tooltip "")]_RELOC",class namec-uhf-tooltip_SEL,"xpath//*[@id=""search""]/span[2]_SEL","//*[@id=""StoreLocations-HighlightHero-s4mjjsv""]/div[1]_RELOC",class nameherohighlight_SEL,"xpath//*[@id=""StoreLocations-HighlightHero-s4mjjsv""]/div_SEL","//*[@data-m=""{""cN"":""Jetzt kaufen"",""cT"":""0"",""id"":""n1c7m1r1a2"",""sN"":1,""aN"":""c7m1r1a2"",""assetid"":""SSAGPTSS_148790_75953_160_a"",""tags"":{""ms.linkid"":""SSAGPTSS_148790_75953_160_a""}}""]/div[1]_RELOC","xpath//*[@id=""storelocations-highlighthero-cjfjcfv-item-2""]/div/div_SEL"
185,20220725235954,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
186,20220726235524,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
187,20220727232653,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
188,20220728234427,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
189,20220729224926,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
190,20220730235839,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
191,20220731234805,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
192,20220801235609,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
193,20220802235347,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
194,20220803234043,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
195,20220804230102,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
196,20220805140447,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
