,Timestamp,"//*[@data-item-id=""32441701""]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" home-minimal_cards-info_component__root "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" home-minimal_cards-info_component__linkArea "")][1]_RELOC",class namehome-minimal_cards-info_component__linkArea_SEL,xpath//html/body/section/section[5]/div/div/div/div[4]/div/div/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" shared-autosuggest_component__searchBtnLabel "")]_RELOC",class nameshared-autosuggest_component__searchBtnLabel_SEL,xpath//html/body/section/section/div/div/form/div/input/button/span[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" shared-global_header-mobile_menu_component__offCanvasLeftContainer "")]/*[@data-controller=""toggler""][10]_RELOC",xpath//html/body/div[2]/div/div[2]/div[2]/template/div/div/div[12]_SEL,"//*[@data-impression-name=""The7 — Website and eCommerce Builder for WordPress""]_RELOC",class nameshared-item_cards-grid-image_card_component__root_SEL,xpath//html/body/section/section[8]/div/ul/li[4]/div/div/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" shared-global_header-our_products_component__navFooter "")]_RELOC",class nameshared-global_header-our_products_component__navFooter_SEL,xpath//html/body/div[2]/div/div/div/nav/div/div/div/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" home-featured_author_block_component__grid "")]//*[@data-impression-position=""1""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" shared-item_cards-grid-image_card_component__content "")][1]_RELOC",class nameshared-item_cards-grid-image_card_component__content_SEL,xpath//html/body/section/section[7]/div/ul/li[2]/div/div/div[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" home-show_content__root "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" home-items_showcase_block_component__root "")][1]//*[@data-impression-position=""1""]_RELOC",xpath//html/body/section/section[4]/div/ul/li[2]/div/div/div_SEL,"//*[@role=""group""]_RELOC",class nameshared-audio_player_component__waveformContainer_SEL,"xpath//*[@id=""free-items-section""]/div/div/div[5]/div/div/div/div/div/div_SEL","//*[@data-impression-name=""Hotline | Call Center and Telemarketing HTML Template""]//*[@style=""padding-bottom: 50.847457627118644%""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" shared-item_cards-preview_image_component__nextButton "")][1]_RELOC",class nameshared-item_cards-preview_image_component__nextButton_SEL,xpath//html/body/section/section[6]/div/div[3]/div/div/div[4]/div/div/div/div/div/button[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" home-elements_items_block_component__items "")]/div[6]_RELOC",class namehome-elements_items_block_component__item_SEL,xpath//html/body/section/section[9]/div/div[2]/div[6]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" shared-global_header-markets_nav_component__headerBottomWrapper "")]_RELOC",class nameshared-global_header-markets_nav_component__headerBottomWrapper_SEL,xpath//html/body/div[2]/div/div[3]_SEL,"//*[@data-impression-name=""The7 — Website and eCommerce Builder for WordPress""]//*[@style=""padding-top: 50.847457627118644%;""]_RELOC",class nameshared-item_cards-grid-image_card_component__gradient_SEL,xpath//html/body/section/section[8]/div/ul/li[4]/div/div/div/div/div[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" shared-csat_survey_component__closeButton "")]_RELOC",class nameshared-csat_survey_component__closeButton_SEL,xpath//html/body/div[10]/div_SEL,"//*[@data-controller=""analytics-page-view-end""]_RELOC",xpath//html/body/div[7]_SEL,"//*[@aria-label=""Rated 4.81 out of 5, 6.8K reviews""]/span[1]_RELOC",class nameshared-stars_rating_component__star_SEL,xpath//html/body/section/section[8]/div/ul/li[3]/div/div/div/div[2]/div[2]/div/div[2]/div/span_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" home-category_tiles_block_component__tiles "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" home-category_tile_component__root "")][6]_RELOC",class namehome-category_tile_component__root_SEL,xpath//html/body/section/section[2]/div/div/div[6]_SEL,"//*[@data-impression-name=""Enftx -  NFT Admin Dashboard React, Nextjs App + Dark & Light""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" shared-item_cards-grid-image_card_component__content "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" shared-item_cards-grid-image_card_component__footer "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" shared-item_cards-grid-image_card_component__footerContent "")][1]_RELOC",class nameshared-item_cards-grid-image_card_component__footerContent_SEL,xpath//html/body/section/section[7]/div/ul/li[3]/div/div/div[2]/div[2]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" home-featured_author_block_component__author "")]_RELOC",class namehome-featured_author_block_component__author_SEL,xpath//html/body/section/section[7]/div/ul/li/header/div/div_SEL,"//*[@action=""/all/20220308231328/https://themeforest.net/my/favorites/5556590""]/*[@type=""hidden""][1]_RELOC",name_method_SEL,xpath//html/body/section/section[8]/div/ul/li[4]/div/div/div/div/div[2]/div/div/form/input_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" home-category_tiles_block_component__tiles "")]/div[3]/div[1]/p[1]_RELOC",class namehome-category_tile_component__tileSubtitle_SEL,xpath//html/body/section/section[2]/div/div/div[3]/div/p_SEL
0,20220308231328,1,8,3,1,1,0,0,0,1,19,1,1,1,1,1,19,1,1,1,1,1,1,1,6,1,1,6,1,1,1,1,1,19,2,1,1,2,1,1,1,15,1,1,6,1,1,19,2,1,1,1,1,19,1,1,6,1
1,20220309232845,1,8,3,1,1,0,0,0,1,19,1,1,1,0,1,19,1,1,1,1,1,1,0,7,1,1,6,1,1,1,0,1,19,2,1,1,0,1,1,1,15,1,1,6,1,1,19,2,1,1,1,0,19,1,1,6,1
2,20220310223105,1,8,3,1,1,0,0,0,1,19,1,1,1,1,1,19,1,1,1,1,1,1,0,7,1,1,6,1,1,1,1,1,19,2,1,1,2,1,1,1,16,1,1,6,1,1,19,2,1,1,1,0,19,1,1,6,1
3,20220311172920,1,8,3,1,1,0,0,0,1,19,1,1,1,0,1,19,1,1,1,1,1,1,0,7,0,1,6,1,1,1,0,1,19,2,1,1,0,1,1,1,15,1,1,6,1,1,19,2,1,1,1,0,19,1,1,6,1
4,20220312210805,1,8,3,1,1,0,0,0,1,19,1,1,1,0,1,19,1,1,1,1,1,1,0,5,1,1,6,1,1,1,0,1,19,2,1,1,0,1,1,1,15,1,1,6,1,1,19,2,1,1,1,0,19,1,1,6,1
5,20220313200925,1,8,3,1,1,0,0,0,1,19,1,1,1,0,1,19,1,1,1,1,1,1,0,5,0,1,6,1,1,1,0,1,19,2,1,1,0,1,1,1,15,1,1,6,1,1,19,2,1,1,1,0,19,1,1,6,1
6,20220314225524,1,8,3,1,1,0,0,0,1,19,1,1,1,0,1,19,1,1,1,1,1,1,0,8,1,1,6,1,1,1,0,1,19,2,1,1,0,1,1,1,15,1,1,6,1,1,19,2,1,1,1,0,19,1,1,6,1
7,20220315195129,1,8,3,1,1,0,0,0,1,19,1,1,1,0,1,19,1,1,1,1,1,1,0,10,1,1,6,1,1,1,0,1,19,2,1,1,0,1,1,1,17,1,1,6,1,0,19,2,1,1,1,0,19,1,1,6,1
8,20220316170503,1,8,3,1,1,0,0,0,1,19,1,1,1,1,1,19,1,1,1,1,1,1,0,10,1,1,6,1,1,1,1,1,19,2,1,1,2,1,1,1,17,1,1,6,1,0,19,2,1,1,1,0,19,1,1,6,1
9,20220317204147,1,8,3,1,1,0,0,0,1,19,1,1,1,0,1,19,1,1,1,1,1,1,0,7,1,1,6,1,1,1,0,1,19,2,1,1,0,1,1,1,17,1,1,6,1,0,19,2,1,1,1,0,19,1,1,6,1
10,20220318212028,1,8,3,1,1,0,0,0,1,19,1,1,1,0,1,19,1,1,1,1,1,1,0,2,0,1,6,1,1,1,0,1,19,2,1,1,0,1,1,1,17,1,1,6,1,0,19,2,1,1,1,0,19,1,1,6,1
11,20220319232829,1,8,3,1,1,0,0,0,1,19,1,1,1,1,1,19,1,1,1,1,1,1,0,2,0,1,6,1,1,1,1,1,19,2,1,1,2,1,1,1,17,1,1,6,1,0,19,2,1,1,1,0,19,1,1,6,1
12,20220320224047,1,8,3,1,1,0,0,0,1,19,1,1,1,0,1,19,1,1,1,1,1,1,0,2,0,1,6,1,1,1,0,1,19,2,1,1,0,1,1,1,17,1,1,6,1,0,19,2,1,1,1,0,19,1,1,6,1
13,20220321231230,1,8,3,1,1,0,0,0,1,19,1,1,1,0,1,19,1,1,1,1,1,1,0,6,1,1,6,1,1,1,0,1,19,2,0,0,0,1,1,0,17,1,1,6,1,0,19,2,1,1,1,0,19,1,1,6,1
14,20220322183126,1,8,3,1,1,0,0,0,1,19,1,1,1,0,1,19,1,1,1,1,1,1,0,6,0,1,6,1,1,1,0,1,19,2,0,0,0,1,1,0,17,1,1,6,1,0,19,2,1,1,1,0,19,1,1,6,1
15,20220323231958,1,8,3,1,1,0,0,0,1,19,1,1,1,1,1,19,1,1,1,1,1,1,0,5,0,1,6,1,1,1,1,1,19,2,0,0,0,1,1,0,16,1,1,6,1,0,19,2,1,1,1,0,19,1,1,6,1
16,20220324193147,1,8,3,1,1,0,0,0,1,19,1,1,1,0,1,19,1,1,1,1,1,1,0,6,1,1,6,1,1,1,0,1,19,2,0,0,0,1,1,0,16,1,1,6,1,0,19,2,1,1,1,0,19,1,1,6,1
17,20220325223641,1,8,3,1,1,0,0,0,1,19,1,1,1,0,1,19,1,1,1,1,1,1,0,9,1,1,6,1,1,1,0,1,19,2,1,1,0,1,1,0,16,1,1,6,1,0,19,2,1,1,1,0,19,1,1,6,1
18,20220326212803,1,8,3,1,1,0,0,0,1,19,1,1,1,0,1,19,1,1,1,1,1,1,0,8,1,1,6,1,1,1,0,1,19,2,1,1,0,1,1,0,16,1,1,6,1,0,19,2,1,1,1,0,19,1,1,6,1
19,20220327222904,1,8,3,1,1,0,0,0,1,19,1,1,1,0,1,19,1,1,1,1,1,1,0,8,1,1,6,1,1,1,0,1,19,2,1,1,0,1,1,0,16,1,1,6,1,0,19,2,1,1,1,0,19,1,1,6,1
20,20220328234153,1,8,3,1,1,0,0,0,0,19,1,1,1,0,1,19,1,1,1,1,1,0,0,3,0,1,6,1,1,1,0,0,19,2,1,1,0,1,1,0,16,1,1,6,1,0,19,2,1,1,1,0,19,1,1,6,1
