,Timestamp,"//*[@style=""background-image: url('http://wayback.archive-it.org/all/20220228073033im_/https://newsinfo.inquirer.net/wp-content/blogs.dir/10/files/2022/02/256229-e1645975281756-300x193.jpeg')""]_RELOC",class namechbox_img_SEL,"xpath//*[@id=""track_regions""]/div[2]/div_SEL","//*[@id=""inqf-more""]_RELOC",idinqf-more_SEL,"xpath//*[@id=""inqf-more""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" swiper-wrapper "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" swiper-slide "")][6]/*[@data-test-source=""inquirer.net""][1]_RELOC",idtr_boxs3_SEL,"xpath//*[@id=""tr_boxs3""]_SEL","//*[@style=""background-image: url(http://wayback.archive-it.org/all/20220228073033im_/https://newsinfo.inquirer.net/files/2022/02/isko-willie.png);""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" flx-l-overlay "")][1]/a/*[contains(concat("" "", normalize-space(@class), "" ""), "" flx-m-cat "")][1]_RELOC",class nameflx-m-cat_SEL,"xpath//*[@id=""flx-gl-left""]/div[1]/div/a/div[1]_SEL","//*[@id=""track_business""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" items "")][1]_RELOC",class nameitems_SEL,"xpath//*[@id=""track_business""]/div[3]_SEL",//footer/section/ul/li[4]/ul/li[1]_RELOC,xpath//html/body/footer/section/ul/li[4]/ul/li[1]_SEL,"//*[@id=""menut_lbl""]_RELOC",idmenut_lbl_SEL,"xpath//*[@id=""menut_lbl""]_SEL","//*[@id=""track_business""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" items "")][3]_RELOC","xpath//*[@id=""track_business""]/div[5]_SEL","//*[@id=""track_entertainment""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" items "")][2]_RELOC","xpath//*[@id=""track_entertainment""]/div[4]_SEL","//*[@id=""track_usa_canada""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ch_more "")][1]_RELOC",class namech_more_SEL,"xpath//*[@id=""track_usa_canada""]/div[6]_SEL",//footer/section/ul/li[1]/ul/li[8]_RELOC,xpath//html/body/footer/section/ul/li[1]/ul/li[8]_SEL,"//*[@id=""wm-media-player-container""]_RELOC",idwm-media-player-container_SEL,"xpath//*[@id=""wm-media-player-container""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" flx-s-desk "")]/*[@id=""newsletter_gallery""][1]_RELOC",idnewsletter_gallery_SEL,class namenewslettershowd_SEL,"xpath//*[@id=""newsletter_gallery""]_SEL","//*[@id=""track_metro""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ch_more "")][1]_RELOC","xpath//*[@id=""track_metro""]/div[6]_SEL","//*[@id=""track_bandera""]_RELOC",idtrack_bandera_SEL,class namechbox_SEL,"xpath//*[@id=""track_bandera""]_SEL",//footer/section/ul/li[1]/ul/li[9]_RELOC,xpath//html/body/footer/section/ul/li[1]/ul/li[9]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" swiper-wrapper "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" swiper-slide "")][10]/*[@data-test-source=""reuters""][3]/h6[2]/span_RELOC","xpath//*[@id=""tr_boxs3""]/h6[2]/span_SEL","//*[@style=""background-image: url(http://wayback.archive-it.org/all/20220228073033im_/https://newsinfo.inquirer.net/files/2022/02/WhatsApp-Image-2022-02-28-at-2.09.17-PM.jpeg);""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" flx-l-overlay "")][1]/a/*[contains(concat("" "", normalize-space(@class), "" ""), "" flx-l-head "")][1]_RELOC",class nameflx-l-head_SEL,"xpath//*[@id=""flx-gl-left""]/div[4]/div/a/div[2]_SEL","//*[@style=""background-image: url(http://wayback.archive-it.org/all/20220228073033im_/https://newsinfo.inquirer.net/files/2022/02/WhatsApp-Image-2022-02-28-at-2.09.17-PM.jpeg);""]_RELOC",class nameflx-leftbox_SEL,"xpath//*[@id=""flx-gl-left""]/div[4]_SEL","//*[@style=""background-image: url(http://wayback.archive-it.org/all/20220228073033im_/https://newsinfo.inquirer.net/files/2022/02/WhatsApp-Image-2022-02-28-at-2.09.17-PM.jpeg);""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" flx-l-overlay "")][1]_RELOC",class nameflx-l-overlay_SEL,"xpath//*[@id=""flx-gl-left""]/div[4]/div_SEL"
0,20220306232832,0,16,1,1,1,1,1,70,70,0,16,1,1,48,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,0,0,0,1,2,2,2,1,1,1,1,17,1,1,1,0,70,0,12,1,0,13,1,0,12,1
1,20220313232959,0,16,1,1,1,1,1,70,70,0,17,1,1,48,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,0,0,0,1,2,2,2,1,1,1,1,17,1,1,1,0,70,0,13,1,0,14,1,0,13,1
2,20220317214022,0,16,1,1,1,1,1,70,70,0,17,1,1,48,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,2,2,2,1,1,1,1,17,1,1,1,0,70,0,13,1,0,14,1,0,13,1
3,20220318215744,0,16,1,1,1,1,1,70,70,0,17,1,1,48,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,2,2,2,1,1,1,1,17,1,1,1,0,70,0,13,1,0,14,1,0,13,1
4,20220322235128,0,16,1,1,1,1,1,70,70,0,17,1,1,48,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,0,0,0,1,2,2,2,1,1,1,1,17,1,1,1,0,70,0,13,1,0,14,1,0,13,1
5,20220323234953,0,16,1,1,1,1,1,70,70,0,17,1,1,48,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,0,0,0,1,2,2,2,1,1,1,1,17,1,1,1,0,70,0,13,1,0,14,1,0,13,1
6,20220326232819,0,16,1,1,1,1,1,70,70,0,17,1,1,48,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,0,0,0,1,2,2,2,1,1,1,1,17,1,1,1,0,70,0,13,1,0,14,1,0,13,1
7,20220328232815,0,16,1,1,1,1,1,70,70,0,17,1,1,48,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,0,0,0,1,2,2,2,1,1,1,1,17,1,1,1,0,70,0,13,1,0,14,1,0,13,1
8,20220330230028,0,16,1,1,1,1,1,70,70,0,17,1,1,48,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,0,0,0,1,2,2,2,1,1,1,1,17,1,1,1,0,70,0,13,1,0,14,1,0,13,1
9,20220401233106,0,16,1,1,1,1,1,70,70,0,17,1,1,48,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,0,0,0,1,2,2,2,1,1,1,1,17,1,1,1,0,70,0,13,1,0,14,1,0,13,1
10,20220402232922,0,16,1,1,1,1,1,70,70,0,17,1,1,48,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,0,0,0,1,2,2,2,1,1,1,1,17,1,1,1,0,70,0,13,1,0,14,1,0,13,1
11,20220406235359,0,16,1,1,1,1,0,70,70,0,17,1,1,48,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,0,0,0,1,2,2,2,1,1,1,1,17,1,1,1,0,70,0,13,1,0,14,1,0,13,1
12,20220413233353,0,16,1,1,1,1,1,70,70,0,17,1,1,48,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,0,0,0,1,2,2,2,1,1,1,1,17,1,1,1,0,70,0,13,1,0,14,1,0,13,1
13,20220414232844,0,16,1,1,1,1,1,70,70,0,17,1,1,48,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,0,0,0,1,2,2,2,1,1,1,1,17,1,1,1,0,70,0,13,1,0,14,1,0,13,1
14,20220420180540,0,16,1,1,1,1,1,70,70,0,17,1,1,48,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,0,0,0,1,2,2,2,1,1,1,1,17,1,1,1,0,70,0,13,1,0,14,1,0,13,1
15,20220424232850,0,16,1,1,1,1,1,70,70,0,17,1,1,48,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,0,0,0,1,2,2,2,1,1,1,1,17,1,1,1,0,70,0,13,1,0,14,1,0,13,1
16,20220426232831,0,16,1,1,1,1,1,70,70,0,17,1,1,48,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,0,0,0,1,2,2,2,1,1,1,1,17,1,1,1,0,70,0,13,1,0,14,1,0,13,1
17,20220427232948,0,16,1,1,1,1,1,70,70,0,17,1,1,48,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,0,0,0,1,2,2,2,1,1,1,1,17,1,1,1,0,70,0,13,1,0,14,1,0,13,1
