,Timestamp,"//*[@aria-label=""Apple Directory""]/div[5]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gf-directory-column-section"")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gf-directory-column-section-list"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gf-directory-column-section-item"")][6]_RELOC",class nameac-gf-directory-column-section-item_SEL,"xpath//*[@id=""ac-globalfooter""]/div/nav/div[5]/div[2]/ul/li[6]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gf-sosumi"")]/ul[1]/li[9]_RELOC","xpath//*[@id=""ac-globalfooter""]/div/section/ul/li[9]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gf-sosumi"")]/ul[1]/li[5]_RELOC","xpath//*[@id=""ac-globalfooter""]/div/section/ul/li[5]_SEL","//*[@id=""ac-gf-directory-column-section-state-services""]_RELOC",class nameac-gf-directory-column-section-state_SEL,idac-gf-directory-column-section-state-services_SEL,"xpath//*[@id=""ac-gf-directory-column-section-state-services""]_SEL","//*[@id=""ac-gn-searchform-src""]_RELOC",idac-gn-searchform-src_SEL,namesrc_SEL,"xpath//*[@id=""ac-gn-searchform-src""]_SEL","//*[@id=""ac-gn-searchform-reset""]_RELOC",idac-gn-searchform-reset_SEL,class nameac-gn-searchform-reset_SEL,"xpath//*[@id=""ac-gn-searchform-reset""]_SEL","//*[@id=""ac-gn-bag""]//*[@aria-hidden=""true""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gn-bag-badge-separator"")][1]_RELOC",class nameac-gn-bag-badge-separator_SEL,"xpath//*[@id=""ac-gn-bag""]/div/span/span_SEL","//*[@aria-label=""Apple Directory""]/div[2]/div[1]/a[1]/span[1]_RELOC",class nameac-gf-directory-column-section-anchor-label_SEL,"xpath//*[@id=""ac-globalfooter""]/div/nav/div[2]/div/a/span_SEL","//*[@aria-label=""Apple Directory""]/div[1]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gf-directory-column-section-list"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gf-directory-column-section-item"")][4]_RELOC","xpath//*[@id=""ac-globalfooter""]/div/nav/div/div/ul/li[4]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gf-sosumi"")]/ul[1]/li[9]/span[1]_RELOC","xpath//*[@id=""ac-globalfooter""]/div/section/ul/li[9]/span_SEL","//*[@aria-label=""Apple Directory""]/div[5]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gf-directory-column-section"")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gf-directory-column-section-list"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gf-directory-column-section-item"")][3]_RELOC","xpath//*[@id=""ac-globalfooter""]/div/nav/div[5]/div[2]/ul/li[3]_SEL","//*[@data-unit-id=""watch-series-7""]/div[1]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" unit-copy-wrapper"")][1]_RELOC",class nameunit-copy-wrapper_SEL,xpath//html/body/main/section[2]/div[3]/div/div/div_SEL,"//*[@data-unit-id=""apple-fitness-plus-winter""]/div[1]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" unit-copy-wrapper"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" cta-links"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" icon"")][1]_RELOC",class nameicon_SEL,xpath//html/body/main/section[3]/div/div/div/div/div/span_SEL,"//*[@aria-label=""Apple Directory""]/div[4]/div[2]/ul[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gf-directory-column-section-item"")][3]_RELOC","xpath//*[@id=""ac-globalfooter""]/div/nav/div[4]/div[2]/ul/li[3]_SEL","//*[@aria-label=""Apple Directory""]/div[2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gf-directory-column-section"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gf-directory-column-section-list"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gf-directory-column-section-item"")][6]_RELOC","xpath//*[@id=""ac-globalfooter""]/div/nav/div[2]/div/ul/li[6]_SEL","//*[@aria-label=""Apple Directory""]/div[4]/div[4]_RELOC",class nameac-gf-directory-column-section_SEL,"xpath//*[@id=""ac-globalfooter""]/div/nav/div[4]/div[4]_SEL","//*[@data-unit-id=""tv-plus-macbeth""]/div[1]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" unit-copy-wrapper"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" logo-image"")][1]/span[1]_RELOC",class namevisuallyhidden_SEL,xpath//html/body/main/section[3]/div[7]/div/div/div/h4/span_SEL,"//*[@data-unit-id=""iphone-13""]/div[1]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" unit-copy-wrapper"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" cta-links"")][1]_RELOC",class namecta-links_SEL,xpath//html/body/main/section[2]/div[2]/div/div/div/div_SEL,"//*[@id=""ac-gn-menuanchor-open""]/span[1]_RELOC",class nameac-gn-menuanchor-label_SEL,"xpath//*[@id=""ac-gn-menuanchor-open""]/span_SEL","//*[@data-unit-id=""watch-series-7""]/div[1]/div[1]_RELOC",class nameunit-wrapper_SEL,xpath//html/body/main/section[2]/div[3]/div/div_SEL
0,20220119233844,1,59,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,2,3,1,20,4,1,5,1,1,1,1,1,10,2,1,1,1,1,1,0,1,1,10,1,1,6,1,1,10,1,1,2,1,1,10,1
1,20220120232658,1,59,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,2,3,1,20,4,1,5,1,1,1,1,1,10,2,1,1,1,1,1,0,1,1,10,1,1,6,1,1,10,1,1,2,1,1,10,1
2,20220121234911,1,59,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,2,3,1,20,4,1,5,0,0,1,1,1,10,2,1,2,2,1,1,0,1,1,10,1,0,7,1,1,10,1,1,2,1,1,10,1
3,20220122235433,1,59,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,2,3,1,20,4,1,5,0,0,1,1,1,10,2,1,3,2,1,1,0,1,1,10,1,0,6,1,1,10,1,1,2,1,1,10,1
4,20220123232345,1,59,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,2,3,1,20,4,1,5,0,0,1,1,1,10,2,1,3,2,1,1,0,1,1,10,1,0,6,1,1,10,1,1,2,1,1,10,1
5,20220124235153,1,59,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,2,3,1,20,4,1,5,0,0,1,1,1,10,2,1,3,2,1,1,0,1,1,10,1,0,6,1,1,10,1,1,2,1,1,10,1
6,20220125235813,1,59,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,2,3,1,20,4,1,5,0,0,1,1,1,9,2,1,3,2,1,1,0,1,1,10,1,0,6,0,1,9,1,1,2,1,1,9,1
7,20220126235702,1,59,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,2,3,1,20,4,1,5,0,0,1,1,1,9,2,1,1,1,1,1,0,1,1,10,1,0,6,0,1,9,1,1,2,1,1,9,1
8,20220127235911,1,59,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,2,3,1,20,4,1,5,0,0,1,1,1,9,2,1,1,1,1,1,0,1,1,10,1,0,6,0,1,9,1,1,2,1,1,9,1
9,20220128232546,1,59,1,0,0,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,2,3,1,20,4,1,5,0,0,1,1,1,9,2,0,0,0,1,1,0,1,1,10,1,0,5,0,1,9,1,1,2,1,1,9,1
10,20220129234847,1,59,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,2,3,1,20,4,1,5,0,0,1,1,1,9,2,1,1,1,1,1,0,1,1,10,1,0,6,0,1,9,1,1,2,1,1,9,1
11,20220130235357,1,59,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,2,3,1,20,4,1,5,0,0,1,1,1,9,2,1,1,1,1,1,0,1,1,10,1,0,6,0,1,9,1,1,2,1,1,9,1
12,20220131235933,1,59,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,2,3,1,20,4,1,5,0,0,1,1,1,9,2,1,1,1,1,1,0,1,1,10,1,0,6,0,1,9,1,1,2,1,1,9,1
13,20220201233855,1,59,1,0,0,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,2,3,1,20,4,1,5,0,0,1,1,1,9,2,0,0,0,1,1,0,1,1,10,1,0,5,0,1,9,1,1,2,1,1,9,1
14,20220202235534,1,59,1,0,0,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,2,3,1,20,4,1,5,0,0,1,1,1,9,2,0,0,0,1,1,0,1,1,10,1,0,5,0,1,9,1,1,2,1,1,9,1
15,20220203235431,1,59,1,0,0,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,2,3,1,20,4,1,5,0,0,1,1,1,9,2,0,0,0,1,1,0,1,1,10,1,0,5,0,1,9,1,1,2,1,1,9,1
16,20220204235703,1,59,1,0,0,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,2,3,1,20,4,1,5,0,0,1,1,1,9,2,0,0,0,1,1,0,1,1,10,1,0,5,0,1,9,1,1,2,1,1,9,1
17,20220205235839,1,59,1,0,0,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,2,3,1,20,4,1,5,0,0,1,1,1,9,2,0,0,0,1,1,0,1,1,10,1,0,5,0,1,9,1,1,2,1,1,9,1
18,20220206235310,1,59,1,0,0,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,2,3,1,20,4,1,5,0,0,1,1,1,9,2,0,0,0,1,1,0,1,1,10,1,0,5,0,1,9,1,1,2,1,1,9,1
19,20220207235909,1,59,1,0,0,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,2,3,1,20,4,1,5,0,0,1,1,1,9,2,0,0,0,1,1,0,1,1,10,1,0,5,0,1,9,1,1,2,1,1,9,1
20,20220208235855,1,59,1,0,0,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,2,3,1,20,4,1,5,0,0,1,1,1,9,2,0,0,0,1,1,0,1,1,10,1,0,5,0,1,9,1,1,2,1,1,9,1
21,20220209235501,1,59,1,0,0,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,2,3,1,20,4,1,5,0,0,1,1,1,9,2,0,0,0,1,1,0,1,1,10,1,0,5,0,1,10,1,1,2,1,1,9,1
