,Timestamp,"//*[@data-locale=""cs""]_RELOC",class namedropdown-content-item_SEL,"xpath//*[@id=""base-header""]/div/div[4]/div/div[2]/div[2]/div[2]/div[20]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" zone-navigationSevere "")]_RELOC",class namezone-navigationSevere_SEL,"xpath//*[@id=""template-severe""]/div/div[3]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" three-col "")]/div[4]_RELOC",class namemega-menu-item_SEL,"xpath//*[@id=""template-more""]/div/div/div[4]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" is-en "")]_RELOC",class namebase-footer_SEL,xpath//html/body/div/div[8]_SEL,"//*[@data-ga-label=""Striking cooldown to usher in rain, summer snow to West : 4""]/div[1]/a[2]/div[2]/span[1]_RELOC",class nametout-date_SEL,xpath//html/body/div/div[4]/div/div/div[5]/div/div[5]/div/a[2]/div[2]/span_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" js-settings-accordion "")]/div[1]_RELOC",class nameaccordion-item-header-container_SEL,"xpath//*[@id=""base-header""]/div/div[7]/div[8]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" header-accordion "")]/div[3]/div[2]/div[1]_RELOC",class nameheader-accordion-content_SEL,"xpath//*[@id=""base-header""]/div/div[7]/div[3]/div[2]/div_SEL","//*[@data-locale=""ca""]_RELOC","xpath//*[@id=""base-header""]/div/div[4]/div/div[2]/div[2]/div[2]/div[23]_SEL","//*[@id=""template-news""]/div[1]/div[1]/div[1]/p[1]_RELOC","xpath//*[@id=""template-news""]/div/div/div/p_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" featured-meta "")]_RELOC",class namefeatured-meta_SEL,xpath//html/body/div/div[4]/div/div/div[3]/a/div_SEL,"//*[@data-ga-label=""'Megaflash' clinches lightning world record, WMO confirms : 2""]/div[2]/div[1]_RELOC",class nameright-rail-cta-more_SEL,xpath//html/body/div/div[4]/div[2]/div/div[3]/div/a[2]/div[2]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-content-accordion "")]/div[3]_RELOC",class nameaccordion-item_SEL,xpath//html/body/div/div[8]/div/div/div/div[3]_SEL,"//*[@data-locale=""es-mx""]_RELOC","xpath//*[@id=""base-header""]/div/div[4]/div/div[2]/div[2]/div[2]/div[17]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" header-accordion "")]/div[5]/div[1]/div[1]_RELOC",class nameaccordion-item-header_SEL,"xpath//*[@id=""base-header""]/div/div[7]/div[5]/div/div_SEL","//*[@data-locale=""es-ar""]_RELOC","xpath//*[@id=""base-header""]/div/div[4]/div/div[2]/div[2]/div[2]/div[16]_SEL","//*[@id=""connatix""]_RELOC",idconnatix_SEL,class namecontent-module_SEL,"xpath//*[@id=""connatix""]_SEL","//*[@data-ga-label=""AccuWeather Summer Camp: Why do lightning bugs flash like lightning? : 1""]/div[2]/div[1]_RELOC",xpath//html/body/div/div[4]/div[2]/div/div[5]/div/a/div[2]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" three-col "")]/div[3]_RELOC","xpath//*[@id=""template-more""]/div/div/div[3]_SEL","//*[@data-ga-label=""Storm to increase flood risk across parts of South America : 13""]/div[1]/a[2]/div[2]/span[1]_RELOC",xpath//html/body/div/div[4]/div/div/div[5]/div/div[14]/div/a[2]/div[2]/span_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" feed-back-link-content-span "")]_RELOC",class namefeed-back-link-content-span_SEL,"xpath//*[@id=""base-header""]/div/div[7]/div/a/span_SEL"
0,20200627171113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20200628171115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20200629171115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,20200630171111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,20200701171115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,20200702171111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,20200703171029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,20200704171114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,20200705171029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,20200706171122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20200707171114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,20200708171111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,20200709171115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,20200710171113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,20200711171114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
