,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" gnav-header-wc0shd "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" gnav-header-1pva7ze "")][1]_RELOC",class namegnav-header-1pva7ze_SEL,"xpath//*[@id=""gnav-main-container""]/div/div/div[2]/div[3]/div[2]/div_SEL","//*[@id=""text-input-where-suggestion-list""]/div[1]/*[@aria-live=""polite""][1]_RELOC",class nameicl-Autocomplete-ariaResultsAvailable_SEL,"xpath//*[@id=""text-input-where-suggestion-list""]/div/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" css-vkdusf "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" jobsearch-PopularSearchesPillBoxes-pillBox "")][4]/*[contains(concat("" "", normalize-space(@class), "" ""), "" jobsearch-PopularSearchesPillBoxes-pillBoxText "")][2]_RELOC",class namejobsearch-PopularSearchesPillBoxes-pillBoxText_SEL,"xpath//*[@id=""popularSearches""]/div/a[4]/span[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" yosegi-InlineWhatWhere-searchBox "")]_RELOC",class nameyosegi-InlineWhatWhere-searchBox_SEL,"xpath//*[@id=""jobsearch""]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" jobsearch-ResumePromo-container "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" icl-TextPromo "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" icl-TextPromo-divider "")][1]_RELOC",class nameicl-TextPromo-divider_SEL,"xpath//*[@id=""jobsearch-HomepageBody""]/div[3]/div[3]/div/div/div/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" mosaic-provider-dislike-feedback "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" animatedToast "")][1]_RELOC",class nameanimatedToast_SEL,"xpath//*[@id=""mosaic-provider-dislike-feedback""]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" css-vkdusf "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" jobsearch-PopularSearchesPillBoxes-pillBox "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" jobsearch-PopularSearchesPillBoxes-icon "")][1]_RELOC",class namejobsearch-PopularSearchesPillBoxes-icon_SEL,"xpath//*[@id=""popularSearches""]/div/a[2]/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" mosaic-provider-acme-content-collection "")]_RELOC",class namemosaic_SEL,idmosaic-provider-acme-content-collection_SEL,"xpath//*[@id=""mosaic-provider-acme-content-collection""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" mosaic-provider-serpreportjob "")]_RELOC",idmosaic-provider-serpreportjob_SEL,"xpath//*[@id=""mosaic-provider-serpreportjob""]_SEL","//*[@id=""jobsearch-HomepageBody""]/*[@aria-live=""polite""][2]_RELOC",class namevisually-hidden_SEL,"xpath//*[@id=""jobsearch-HomepageBody""]/span[4]_SEL","//*[@data-gnav-region=""Main""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" gnav-header-1fosl13 "")][1]_RELOC",class namegnav-header-1fosl13_SEL,"xpath//*[@id=""gnav-main-container""]/div/div_SEL","//*[@id=""jobsearch-Main""]_RELOC",idjobsearch-Main_SEL,"xpath//*[@id=""jobsearch-Main""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" css-vkdusf "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" jobsearch-PopularSearchesPillBoxes-pillBox "")][5]/*[contains(concat("" "", normalize-space(@class), "" ""), "" jobsearch-PopularSearchesPillBoxes-pillBoxText "")][2]_RELOC","xpath//*[@id=""popularSearches""]/div/a[5]/span[2]_SEL","//*[@id=""mosaic-aboveFooter""]_RELOC",idmosaic-aboveFooter_SEL,class namemosaic-zone_SEL,"xpath//*[@id=""mosaic-aboveFooter""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" yosegi-InlineWhatWhere-what "")]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" icl-TextInputClearable "")][1]_RELOC",class nameicl-TextInputClearable_SEL,"xpath//*[@id=""jobsearch""]/div/div/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" yosegi-InlineWhatWhere-what "")]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" icl-TextInputClearable "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" icl-TextInput "")][1]_RELOC",class nameicl-TextInput_SEL,"xpath//*[@id=""jobsearch""]/div/div/div/div/div_SEL","//*[@id=""text-input-where-suggestion-list""]/div[1]_RELOC",class nameicl-Autocomplete-ariaResultsAvailableWrapper_SEL,"xpath//*[@id=""text-input-where-suggestion-list""]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" yosegi-InlineWhatWhere-where "")]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" icl-TextInputClearable "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" icl-TextInput "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" icl-TextInput-wrapper "")][1]/span[1]/*[@aria-hidden=""true""][1]_RELOC","xpath//*[@id=""jobsearch""]/div/div[2]/div/div/div/div[2]/span/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" mosaic-provider-base-nodejs "")]_RELOC",idmosaic-provider-base-nodejs_SEL,"xpath//*[@id=""mosaic-provider-base-nodejs""]_SEL","//*[@id=""mosaic-belowPopularSearch""]_RELOC",idmosaic-belowPopularSearch_SEL,"xpath//*[@id=""mosaic-belowPopularSearch""]_SEL"
0,20220624232821,True,False,True,True,False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True,True
1,20220714235033,True,False,True,True,False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True,True
2,20220715234752,True,False,True,True,False,False,False,False,False,True,True,True,True,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,False,True,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True,True
3,20220718201609,True,False,True,True,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,False,True,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True,True
4,20220720124243,True,False,True,True,False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True,True
5,20220721172244,True,False,True,True,False,False,False,False,False,True,True,True,True,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,False,True,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True,True
6,20220725231828,True,False,True,True,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,False,True,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True,True
7,20220726210608,True,False,True,True,False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True,True
8,20220728233537,True,False,True,True,False,False,False,False,False,True,True,True,True,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,False,True,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True,True
9,20220729235843,True,False,True,True,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,False,True,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True,True
10,20220801211815,True,False,True,True,False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True,True
11,20220802233914,True,False,True,True,False,False,False,False,False,True,True,True,True,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,False,True,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True,True
12,20220804215256,True,False,True,True,False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True,True
13,20220805213038,True,False,True,True,False,False,False,False,False,True,True,True,True,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,False,True,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True,True
14,20220808234805,True,False,True,True,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,False,True,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True,True
15,20220809201424,True,False,True,True,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,False,True,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True,True
16,20220810214549,True,False,True,True,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,False,True,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True,True
17,20220811221712,True,False,True,True,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,False,True,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True,True
18,20220815235152,True,False,True,True,False,False,False,False,False,True,True,True,True,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,False,True,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True,True
19,20220816215423,True,False,True,True,False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True,True
20,20220822233123,True,False,True,True,False,False,False,False,False,True,True,True,True,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,False,True,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True,True
