,Timestamp,"//*[@title=""评论22, 推荐8, 阅读1300""]/span_RELOC",class nameheadline-label_SEL,"xpath//*[@id=""main_flow""]/div/div[1]/ul/li[3]/a[1]/span_SEL","//*[@id=""post_list""]/article[17]/section/div_RELOC",class namepost-item-text_SEL,"xpath//*[@id=""post_list""]/article[17]/section/div_SEL","//*[@id=""nav_left""]/li[5]_RELOC","xpath//*[@id=""nav_left""]/li[5]_SEL","//*[@id=""nav_left""]/li[3]_RELOC","xpath//*[@id=""nav_left""]/li[3]_SEL","//*[@id=""digg_tip_14927783""]_RELOC",iddigg_tip_14927783_SEL,class namedigg-tip_SEL,"xpath//*[@id=""digg_tip_14927783""]_SEL","//*[@id=""nav_left""]/li[4]_RELOC","xpath//*[@id=""nav_left""]/li[4]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-splitter "")]_RELOC",class namefooter-splitter_SEL,"xpath//*[@id=""footer""]/div[2]_SEL","//*[@id=""sidebar_bh""]_RELOC",idsidebar_bh_SEL,class namesidebar-bh_SEL,"xpath//*[@id=""sidebar_bh""]_SEL","//*[@id=""post_list""]/article[8]/section/footer/span[1]/span_RELOC","xpath//*[@id=""post_list""]/article[8]/section/footer/span[1]/span_SEL","//*[@id=""post_list""]/article[4]/section/footer/*[contains(concat("" "", normalize-space(@class), "" ""), "" post-item-author "")][1]/span_RELOC","xpath//*[@id=""post_list""]/article[4]/section/footer/a[1]/span_SEL","//*[@id=""digg_tip_14927839""]_RELOC",iddigg_tip_14927839_SEL,"xpath//*[@id=""digg_tip_14927839""]_SEL","//*[@id=""pager_top""]_RELOC",idpager_top_SEL,"xpath//*[@id=""pager_top""]_SEL","//*[@id=""nav_left""]/li[6]_RELOC","xpath//*[@id=""nav_left""]/li[6]_SEL","//*[@id=""post_list""]/article[2]/section/div/p_RELOC",class namepost-item-summary_SEL,"xpath//*[@id=""post_list""]/article[2]/section/div/p_SEL","//*[@id=""post_list""]/article[1]/section/div_RELOC","xpath//*[@id=""post_list""]/article[1]/section/div_SEL","//*[@id=""digg_tip_14926947""]_RELOC",iddigg_tip_14926947_SEL,"xpath//*[@id=""digg_tip_14926947""]_SEL","//*[@id=""post_list""]/article[13]/section/footer/span[1]/span_RELOC","xpath//*[@id=""post_list""]/article[13]/section/footer/span[1]/span_SEL","//*[@id=""digg_count_14927797""]_RELOC",iddigg_count_14927797_SEL,"xpath//*[@id=""digg_count_14927797""]_SEL","//*[@id=""post_list""]/article[8]/section/footer/a[4]/span_RELOC","xpath//*[@id=""post_list""]/article[8]/section/footer/a[4]/span_SEL","//*[@id=""navbar_lite_mode_spinner""]_RELOC",idnavbar_lite_mode_spinner_SEL,class namehide_SEL,"xpath//*[@id=""navbar_lite_mode_spinner""]_SEL"
0,20210628020128,0,4,1,1,20,1,1,1,1,1,0,0,20,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,20,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,3,1
1,20210629142818,0,5,1,1,20,1,1,1,1,1,0,0,20,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,20,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,3,1
2,20210705025052,0,4,1,1,20,1,1,1,1,1,0,0,20,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,20,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,3,1
3,20210708095433,0,5,1,1,20,1,1,1,1,1,0,0,20,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,20,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,3,1
4,20210712035953,0,4,1,1,20,1,1,1,1,1,0,0,20,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,20,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,3,1
5,20210713072625,0,4,1,1,20,1,1,1,1,1,0,0,20,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,20,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,3,1
6,20210715150940,0,5,1,1,20,1,1,1,1,1,0,0,20,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,20,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,3,1
7,20210719042458,0,4,1,1,20,1,1,1,1,1,0,0,20,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,20,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,3,1
8,20210726050812,0,5,1,1,20,1,1,1,1,1,0,0,20,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,20,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,3,1
9,20210727194315,0,4,1,1,20,1,1,1,1,1,0,0,20,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,20,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,3,1
10,20210731094230,0,5,1,1,20,1,1,1,1,1,0,0,20,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,20,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,3,1
11,20210802060418,0,5,1,1,20,1,1,1,1,1,0,0,20,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,20,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,3,1
