,Timestamp,"//*[@id=""thumb40770440""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" thumb-details"")][1]_RELOC",class namethumb-details_SEL,"xpath//*[@id=""thumb40770440""]/div[2]_SEL","//*[@id=""thumb40828982""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" thumb-details"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" thumb-view-date"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" dot"")][1]_RELOC",class namedot_SEL,"xpath//*[@id=""thumb40828982""]/div[2]/div[2]/span[2]_SEL","//*[@id=""thumb40891172""]/div[2]/a[1]/span[1]_RELOC",class namechannel-name_SEL,"xpath//*[@id=""thumb40891172""]/div[2]/a/span_SEL","//*[@title=""پرچم دار قدیمی بخریم یا میان رده جدید؟""]/span[1]_RELOC","xpath//*[@id=""thumb40871328""]/div[2]/div/a/span_SEL","//*[@id=""thumb40879296""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" thumb-details"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" thumb-view-date"")][1]/span[1]_RELOC","xpath//*[@id=""thumb40879296""]/div[2]/div[2]/span_SEL","//*[@id=""thumb40888668""]//*[@title=""رسمی""]_RELOC",class namepriority-brand_SEL,"xpath//*[@id=""thumb40888668""]/div[2]/a/span[2]_SEL","//*[@title=""فضای مجازی و چالش واقعیت و ذهنیت""]/span[1]_RELOC","xpath//*[@id=""thumb40928325""]/div[2]/div/a/span_SEL","//*[@id=""thumb40828982""]_RELOC",idthumb40828982_SEL,class namethumbnail-video_SEL,"xpath//*[@id=""thumb40828982""]_SEL","//*[@id=""thumb40896991""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" thumb-details"")][1]_RELOC","xpath//*[@id=""thumb40896991""]/div[2]_SEL","//*[@id=""thumb40770405""]/div[2]/div[2]/span[3]_RELOC",class namedate_SEL,"xpath//*[@id=""thumb40770405""]/div[2]/div[2]/span[3]_SEL","//*[@aria-label=""instagram""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" content"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" text"")][1]_RELOC",class nametext_SEL,"xpath//*[@id=""7""]/ul/li[2]/a/div/span_SEL","//*[@aria-label=""متفرقه""]/div[1]/span[1]_RELOC","xpath//*[@id=""2""]/ul/li[17]/a/div/span_SEL","//*[@id=""thumb40770503""]_RELOC",idthumb40770503_SEL,"xpath//*[@id=""thumb40770503""]_SEL","//*[@id=""40790914""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" tools"")][1]_RELOC",class nametools_SEL,"xpath//*[@id=""40790914""]/div_SEL","//*[@id=""thumb40780024""]_RELOC",idthumb40780024_SEL,"xpath//*[@id=""thumb40780024""]_SEL","//*[@id=""thumb40844450""]_RELOC",idthumb40844450_SEL,"xpath//*[@id=""thumb40844450""]_SEL","//*[@id=""thumb40888214""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" thumb-details"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" thumb-view-date"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" dot"")][1]_RELOC","xpath//*[@id=""thumb40888214""]/div[2]/div[2]/span[2]_SEL","//*[@title=""تاتنهام ۲-۱ وستهام | خلاصه بازی | ادامه روزهای خوش اسپرز با کونته""]/span[1]_RELOC","xpath//*[@id=""thumb40770440""]/div[2]/div/a/span_SEL","//*[@title=""جهش""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" priority-brand"")][1]_RELOC","xpath//*[@id=""thumb40842027""]/div[2]/a/span[2]_SEL","//*[@id=""list0db8bf9c54""]/div[1]/header[1]/div[2]/div[2]/a[1]/span[1]_RELOC","xpath//*[@id=""list0db8bf9c54""]/div/header/div[2]/div[2]/a/span_SEL"
0,20220203012726,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,20220204210900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,20220205152419,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,20220206190554,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,20220207235837,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,20220208195635,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,20220209050626,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,20220210051350,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,20220211204026,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,20220212175955,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,20220213151000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,20220214174608,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,20220215224358,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,20220216165401,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,20220217032319,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,20220218065950,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,20220219041947,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
