,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" kitt-header__search "")]_RELOC",class namekitt-header__search_SEL,"xpath//*[@id=""main-page""]/div/div/div[3]/header/div/div[2]/div_SEL","//*[@aria-describedby=""kitt-menu-2-5""]/li[5]_RELOC",class namekitt-top-menu__item_SEL,"xpath//*[@id=""main-page""]/div/div/div[4]/nav/div/ul/li[3]/div/div[2]/ul/li/ul/li[5]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" kitt-header-sections__item_current "")]_RELOC",class namekitt-header-sections__item_SEL,"xpath//*[@id=""main-page""]/div/div/div[3]/header/div/div/ul/li_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" kitt-footer-social "")]/li[1]_RELOC",class namekitt-footer-social__item_SEL,"xpath//*[@id=""main-page""]/div[3]/div/div[2]/footer/div/div[2]/div[2]/div/div/ul/li_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" kitt-top-menu__list_center "")]/li[10]/div[1]/div[1]/ul[1]/li[4]_RELOC","xpath//*[@id=""main-page""]/div/div/div[4]/nav/div/ul/li[10]/div/div/ul/li[4]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" bt-tile_key_1_uuid_a54e1414-0ab1-4f10-b266-e7c6f16d7140 "")]_RELOC",class namebt-tile_SEL,"xpath//*[@id=""page-main""]/div[8]/div/div/div/div/div/div/div/div/div[2]/a/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" kitt-top-menu__list_center "")]/li[7]/div[1]/div[1]/ul[1]/li[4]_RELOC","xpath//*[@id=""main-page""]/div/div/div[4]/nav/div/ul/li[7]/div/div/ul/li[4]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" kitt-top-menu__list_center "")]/li[11]/div[1]/div[1]/ul[1]/li[4]_RELOC","xpath//*[@id=""main-page""]/div/div/div[4]/nav/div/ul/li[11]/div/div/ul/li[4]_SEL","//*[@aria-describedby=""kitt-menu-10-5""]/li[3]_RELOC","xpath//*[@id=""main-page""]/div/div/div[4]/nav/div/ul/li[11]/div/div[2]/ul/li/ul/li[3]_SEL","//*[@data-pid=""StaticHelper-2779204""]/div[1]/div[2]_RELOC",class namestatic-helper_SEL,"xpath//*[@id=""page-main""]/div[5]/div/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" kitt-cookie-warning__content "")]_RELOC",class namekitt-cookie-warning__content_SEL,"xpath//*[@id=""main-page""]/div[4]/div/div/div_SEL","//*[@id=""kitt-top-menu-3""]_RELOC",class namekitt-top-menu__input_SEL,idkitt-top-menu-3_SEL,"xpath//*[@id=""kitt-top-menu-3""]_SEL","//*[@data-pid=""BlockPadding-9539496""]/div[1]/div[1]_RELOC",class nameblock-padding_SEL,"xpath//*[@id=""page-main""]/div[4]/div/div_SEL","//*[@id=""kitt-top-menu-5-8""]_RELOC",class namekitt-top-menu__heading_SEL,idkitt-top-menu-5-8_SEL,"xpath//*[@id=""kitt-top-menu-5-8""]_SEL","//*[@data-pid=""SiteFooter-5058887""]_RELOC",class namebp-widget_SEL,"xpath//*[@id=""main-page""]/div[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" kitt-top-menu__list_center "")]/li[7]/div[1]/div[2]_RELOC",class namekitt-top-menu__column_SEL,"xpath//*[@id=""main-page""]/div/div/div[4]/nav/div/ul/li[7]/div/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" nt-list "")]_RELOC",class nament-list_SEL,"xpath//*[@id=""page-main""]/div[11]/div/div/div/div/div[2]/div_SEL","//*[@id=""kitt-top-menu-6""]_RELOC",idkitt-top-menu-6_SEL,"xpath//*[@id=""kitt-top-menu-6""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" kitt-top-menu__list_center "")]/li[10]/a[2]/span[1]_RELOC",class namekitt-top-menu__close-x_SEL,"xpath//*[@id=""main-page""]/div/div/div[4]/nav/div/ul/li[10]/a[2]/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" kitt-top-menu__list_center "")]/li[9]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" kitt-top-menu__column_subaction "")][1]/ul[1]/li[5]_RELOC","xpath//*[@id=""main-page""]/div/div/div[4]/nav/div/ul/li[9]/div/div/ul/li[5]_SEL"
0,20220310010902,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,20220312033244,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,20220313185215,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,20220314061444,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,20220317233253,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,20220318235609,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,20220319190037,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,20220320225313,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,20220321203745,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,20220322203455,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,20220323214938,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,20220324210407,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,20220325193043,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,20220326162840,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,20220327203628,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,20220328171513,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,20220329210944,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,20220330211554,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,20220331235215,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
