,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" home-section--excerpts "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" events-container "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" carousel "")][1]_RELOC",class namecarousel_SEL,"xpath//*[@id=""post-6""]/div/div/div/div/div[3]/div_SEL","//*[@id=""menu-item-81508""]_RELOC",idmenu-item-81508_SEL,class namemenu-item_SEL,"xpath//*[@id=""menu-item-81508""]_SEL","//*[@id=""menu-item-34862""]_RELOC",idmenu-item-34862_SEL,"xpath//*[@id=""menu-item-34862""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" navbar "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")][1]_RELOC",class namecontainer_SEL,xpath//html/body/header/nav/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" home-section--excerpts "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" events-container "")][1]//*[@data-mh=""home-excerpt-module""]/*[@data-mh=""carousel-list-item""][3]/*[contains(concat("" "", normalize-space(@class), "" ""), "" excerpts-list-small__item "")][1]_RELOC",class nameexcerpts-list-small__item_SEL,"xpath//*[@id=""post-6""]/div/div/div/div/div/div/ul/li[3]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" home-section--excerpts "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" events-container "")][2]_RELOC",class namecol-sm-4_SEL,"xpath//*[@id=""post-6""]/div/div/div/div/div[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" areas "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-lg-4 "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" area-wrapper "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" area "")][1]_RELOC",class namearea_SEL,xpath//html/body/div/div/div/div/div[3]/div/div[2]/div/p_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" js-testimonials-home "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-sm-3 "")][1]_RELOC",class namecol-sm-3_SEL,"xpath//*[@id=""post-6""]/div[2]/div/div/ul/li_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" js-testimonials-home "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-sm-3 "")][4]_RELOC","xpath//*[@id=""post-6""]/div[2]/div/div/ul/li[4]_SEL","//*[@id=""menu-item-82515""]_RELOC",idmenu-item-82515_SEL,"xpath//*[@id=""menu-item-82515""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" js-testimonials-home "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-sm-3 "")][5]_RELOC","xpath//*[@id=""post-6""]/div[2]/div/div/ul/li[5]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" home-section--excerpts "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" events-container "")][1]//*[@data-mh=""home-excerpt-module""]/*[@data-mh=""carousel-list-item""][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" excerpts-list-small__item "")][1]_RELOC","xpath//*[@id=""post-6""]/div/div/div/div/div/div/ul/li[2]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" home-section--excerpts "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-sm-4 "")][2]_RELOC","xpath//*[@id=""post-6""]/div/div/div/div/div[2]_SEL","//*[@id=""menu-footer-menu""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-xxs-12 "")][3]/ul[1]/li[3]_RELOC","xpath//*[@id=""menu-footer-menu""]/nav[3]/ul/li[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" home-section--excerpts "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" events-container "")][2]//*[@data-mh=""carousel-list-item""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" excerpts-list-small__item "")][1]_RELOC","xpath//*[@id=""post-6""]/div/div/div/div/div[3]/div/ul/li/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" home-section--excerpts "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-sm-4 "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" excerpts-list-small "")][1]/li[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" excerpts-list-small__metadata "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" date "")][1]_RELOC",class namedate_SEL,"xpath//*[@id=""post-6""]/div/div/div/div/div[2]/ul/li/div[2]/span_SEL","//*[@role=""menu""]/li[7]_RELOC","xpath//*[@id=""navbar""]/div/div/ul[2]/li/ul/li[7]_SEL","//*[@id=""menu-item-13211""]_RELOC",idmenu-item-13211_SEL,class namelogin_SEL,"xpath//*[@id=""menu-item-13211""]_SEL","//*[@id=""menu-footer-menu""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-xxs-12 "")][1]/ul[1]/li[2]_RELOC","xpath//*[@id=""menu-footer-menu""]/nav/ul/li[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" container-alternating-colors__1 "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")][1]_RELOC","xpath//*[@id=""post-6""]/div/div_SEL"
0,20220114181908,1,2,1,1,1,1,1,1,1,1,1,5,1,0,6,0,1,6,1,1,3,1,0,19,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,4,1,2
1,20220115235918,1,2,1,1,1,1,1,1,1,1,1,5,1,0,6,0,1,6,1,1,3,1,0,19,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,4,1,2
2,20220116051619,1,2,1,1,1,1,1,1,1,1,1,5,1,1,4,1,1,6,1,1,3,1,1,13,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,1,2
3,20220117233021,1,2,1,1,1,1,1,1,1,1,1,5,1,0,6,0,1,6,1,1,3,1,0,19,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,4,1,2
4,20220118042028,1,2,1,1,1,1,1,1,1,1,1,5,1,1,4,1,1,6,1,1,3,1,1,13,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,1,2
5,20220119143944,1,2,1,1,1,1,1,1,1,1,1,5,1,0,6,0,1,6,1,1,3,1,0,19,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,4,1,2
6,20220120095811,1,2,1,1,1,1,1,1,1,1,1,5,1,1,4,1,1,6,1,1,3,1,1,13,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,1,2
7,20220121080838,1,2,1,1,1,1,1,1,1,1,1,5,1,0,6,0,1,6,1,1,3,1,0,19,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,4,1,2
8,20220122224630,1,2,1,1,1,1,1,1,1,1,1,5,1,0,6,0,1,6,1,1,3,1,0,19,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,4,1,2
9,20220123053038,1,2,1,1,1,1,1,1,1,1,1,5,1,0,6,0,1,6,1,1,3,1,0,19,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,4,1,2
10,20220124234254,1,2,1,1,1,1,1,1,1,1,1,5,1,0,6,0,1,6,1,1,3,1,0,19,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,4,1,2
11,20220125234235,1,2,1,1,1,1,1,1,1,1,1,5,1,0,6,0,1,6,1,1,3,1,0,19,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,4,1,2
12,20220126151732,1,2,1,1,1,1,1,1,1,1,1,5,1,0,6,0,1,6,1,1,3,1,0,19,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,4,1,2
13,20220127053308,1,2,1,1,1,1,1,1,1,1,1,5,1,1,4,1,1,6,1,1,3,1,1,13,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,1,2
14,20220128061942,1,2,1,1,1,1,1,1,1,1,1,5,1,1,4,1,1,6,1,1,3,1,1,13,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,1,2
15,20220129232159,1,2,1,1,1,1,1,1,1,1,1,5,1,0,6,0,1,6,1,1,3,1,0,19,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,4,1,2
16,20220130105434,1,2,1,1,1,1,1,1,1,1,1,5,1,0,6,0,1,6,1,1,3,1,0,19,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,4,1,2
17,20220131233929,1,2,1,1,1,1,1,1,1,1,1,5,1,0,6,0,1,6,1,1,3,1,0,19,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,4,1,2
18,20220201235124,1,2,1,1,1,1,1,1,1,1,1,5,1,0,6,0,1,6,1,1,3,1,0,19,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,4,1,2
19,20220202232931,1,2,1,1,1,1,1,1,1,1,1,5,1,0,6,0,1,6,1,1,3,1,0,19,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,4,1,2
20,20220203183055,1,2,1,1,1,1,1,1,1,1,1,5,1,0,6,0,1,6,1,1,3,1,0,19,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,4,1,2
21,20220204161403,1,2,1,1,1,1,1,1,1,1,1,5,1,0,6,0,1,6,1,1,3,1,0,19,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,4,1,2
22,20220205133238,1,2,1,1,1,1,1,1,1,1,1,5,1,1,4,1,1,6,1,1,3,1,1,13,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,1,2
23,20220206084739,1,2,1,1,1,1,1,1,1,1,1,5,1,0,6,0,1,6,1,1,3,1,0,19,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,4,1,2
24,20220207235158,1,2,1,1,1,1,1,1,1,1,1,5,1,0,6,0,1,6,1,1,3,1,0,19,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,4,1,2
