,Timestamp,"//*[@title=""Guia de Economia""]/span[1]_RELOC",class nameuol-hidden_SEL,"xpath//*[@id=""app""]/div/header/nav/ul/li[4]/div/div/div/ul/li[8]/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" menuDesktop__item--noticias "")]/div[1]/div[1]/div[1]/ul[1]/li[9]/a[1]/span[1]_RELOC","xpath//*[@id=""app""]/div/header/nav/ul/li[2]/div/div/div/ul/li[9]/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" menuDesktop__item--economia "")]/div[1]/div[2]/div[1]/div[1]/ul[1]/li[2]_RELOC",class nameshowcaseDefault__item_SEL,"xpath//*[@id=""app""]/div/header/nav/ul/li[4]/div/div[2]/div/div/ul/li[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" menuDesktop__item--tilt "")]/div[1]/div[2]/div[2]/div[1]/ul[1]/li[1]_RELOC","xpath//*[@id=""app""]/div/header/nav/ul/li[10]/div/div[2]/div[2]/div/ul/li_SEL","//*[@aria-labelledby=""kyj4vg6k""]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[4]/div[1]/div[2]_RELOC",class namecol-24_SEL,"xpath//*[@id=""app""]/div/div[3]/section[2]/div/div/div/div/div/div[2]/div/div[4]/div/div[2]_SEL","//*[@title=""UOL no Verão""]/span[2]_RELOC","xpath//*[@id=""app""]/div/header/nav/ul/li[13]/div/div/div/ul/li[7]/a/span[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" menuDesktop__item--nossa "")]/div[1]/div[1]/div[1]/ul[1]/li[4]/a[1]/span[2]_RELOC","xpath//*[@id=""app""]/div/header/nav/ul/li[13]/div/div/div/ul/li[4]/a/span[2]_SEL","//*[@title=""Bate-papo UOL""]/span[2]_RELOC","xpath//*[@id=""app""]/div/header/nav/ul/li/div/div/div/ul/li[7]/a/span[2]_SEL","//*[@aria-labelledby=""kyj4vg0xqg""]/div[1]/div[1]/div[1]/div[1]/div[2]/section[1]/section[1]/ul[1]/li[3]_RELOC",class namecarousel__component_SEL,"xpath//*[@id=""app""]/div/div[3]/section[4]/div/div/div/div/div[2]/section/section/ul/li[3]_SEL","//*[@style=""border-top-color:#2e48ff;""]/div[1]/button[1]_RELOC",class nameheaderSection__blockControl_SEL,"xpath//*[@id=""kyj4vg2e""]/div/div/button_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" menuDesktop__item--tilt "")]/div[1]/div[2]/div[4]/div[1]/a[1]/span[2]_RELOC","xpath//*[@id=""app""]/div/header/nav/ul/li[10]/div/div[2]/div[4]/div/a/span[2]_SEL","//*[@aria-labelledby=""kyj4vg0xqg""]/div[1]/div[1]/div[1]/div[1]_RELOC",class namerow_SEL,"xpath//*[@id=""app""]/div/div[3]/section[4]/div/div/div/div_SEL","//*[@aria-labelledby=""kym3ql48""]/a[1]/div[1]_RELOC",class nameheadlineSub__content_SEL,"xpath//*[@id=""app""]/div/div[3]/section[6]/div/div/div/div/div/div/div/div/div/div[2]/article/a/div_SEL","//*[@title=""Milhões de conteúdos para você conquistar seus sonhos. Cadastre-se grátis!""]/div[1]_RELOC",class nameheadlineAd__kicker__container_SEL,"xpath//*[@id=""kyj4vg22""]/div/div/div/ul/article[5]/a/div_SEL","//*[@title=""Lotofácil""]/span[2]_RELOC","xpath//*[@id=""app""]/div/header/nav/ul/li[2]/div/div[2]/div/div/ul/li[3]/a/span[2]_SEL","//*[@title=""Programas""]/span[2]_RELOC","xpath//*[@id=""app""]/div/header/nav/ul/li[12]/div/div/div/ul/li[4]/a/span[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" menuDesktop__item--esporte "")]/div[1]/div[1]/div[1]/ul[1]/li[11]_RELOC","xpath//*[@id=""app""]/div/header/nav/ul/li[6]/div/div/div/ul/li[11]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" showcaseItens__list "")]/li[4]_RELOC",class nameshowcaseItens__item_SEL,"xpath//*[@id=""app""]/div/header/nav/ul/li[6]/div/div[2]/div[2]/div/ul/li[4]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" menuDesktop__item--noticias "")]/div[1]/div[1]/div[1]/ul[1]/li[9]/a[1]/span[2]_RELOC","xpath//*[@id=""app""]/div/header/nav/ul/li[2]/div/div/div/ul/li[9]/a/span[2]_SEL","//*[@title=""Lançamentos""]/span[1]_RELOC","xpath//*[@id=""app""]/div/header/nav/ul/li[10]/div/div[2]/div/div/ul/li/a/span_SEL"
0,20220119235252,1,364,2,1,2,1,299,3,1,7,1,16,1,1,1,1,1,1,13,1,17,2,1,4,1,1,1,1,5,2,1,36,2,1,6,1,1,3,1,1,1,1,1,23,1,1,1,1,40
1,20220120234330,1,362,2,1,2,1,299,3,1,7,0,16,1,1,1,1,1,1,13,1,17,2,1,4,1,1,1,1,5,2,0,36,2,1,6,1,1,3,1,1,1,1,1,23,1,1,1,1,40
2,20220121235746,1,363,2,1,2,1,299,3,1,7,1,16,1,1,1,1,1,1,13,1,17,2,1,4,1,1,1,1,5,2,0,37,2,1,6,1,1,3,1,1,1,1,1,23,1,1,1,1,40
3,20220122235749,1,361,2,1,2,1,299,3,1,7,1,16,1,1,1,1,1,1,13,1,17,2,1,4,1,1,1,1,5,2,0,35,2,1,6,1,1,3,1,1,1,1,1,23,1,1,1,1,40
4,20220123235040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,20220124235436,1,361,2,1,2,1,299,3,1,7,1,16,1,1,1,1,1,1,13,1,17,2,1,4,1,1,1,1,5,2,0,38,2,1,6,1,1,3,1,1,1,1,1,23,1,1,1,1,40
6,20220125235729,1,365,2,1,2,1,299,3,1,7,1,16,1,1,1,1,1,1,13,1,17,2,1,4,1,1,1,1,5,2,0,36,2,1,6,1,1,3,1,1,1,1,1,23,1,1,1,1,40
7,20220126234837,1,365,2,1,2,1,299,3,1,7,1,16,1,1,1,1,1,1,13,1,17,2,1,4,1,1,1,1,5,2,0,38,2,1,6,1,1,3,1,1,1,1,1,23,1,1,1,1,40
8,20220127235303,1,363,2,1,2,1,299,3,1,7,0,16,0,1,1,1,1,1,13,1,18,2,1,4,1,1,1,1,5,2,0,37,2,1,6,1,1,3,1,1,1,1,1,23,1,1,1,1,40
9,20220128235009,1,363,2,1,2,1,299,3,1,7,1,16,1,1,1,1,1,1,13,1,17,2,1,4,1,1,1,1,5,2,0,38,2,1,6,1,1,3,1,1,1,1,1,23,1,1,1,1,40
10,20220129235646,1,362,2,1,2,1,299,3,1,7,1,16,1,1,1,1,1,1,13,1,17,2,1,4,1,1,1,1,5,2,0,37,2,1,6,1,1,3,1,1,1,1,1,23,1,1,1,1,40
11,20220130235250,1,361,2,1,2,1,299,3,1,7,1,16,1,1,1,1,1,1,13,1,17,2,1,4,1,1,1,1,5,2,0,37,2,1,6,1,1,3,1,1,1,1,1,23,1,1,1,1,40
12,20220131235937,1,361,2,1,2,1,299,3,1,7,1,16,1,1,1,1,1,1,13,1,17,2,1,4,1,1,1,1,5,2,0,36,2,1,6,1,1,3,1,1,1,1,1,23,1,1,1,1,40
13,20220201235935,1,361,2,1,2,1,299,3,1,7,0,15,0,1,1,1,1,1,13,1,18,2,1,4,1,1,1,1,5,2,0,34,2,1,6,1,1,3,1,1,1,1,1,23,1,1,1,1,40
14,20220202235223,1,366,2,1,2,1,299,3,1,7,0,15,0,1,1,1,1,1,13,1,17,2,1,4,1,1,1,1,5,2,0,38,2,1,6,1,1,3,1,1,1,1,1,23,1,1,1,1,40
15,20220203235230,1,363,2,1,2,1,299,3,1,7,0,16,0,1,1,1,1,1,13,1,18,2,1,4,1,1,1,1,5,2,0,37,2,1,6,1,1,3,1,1,1,1,1,23,1,1,1,1,40
16,20220204235243,1,363,2,1,2,1,299,3,1,7,1,16,1,1,1,1,1,1,13,1,17,2,1,4,1,1,1,1,5,2,0,39,2,1,6,1,1,3,1,1,1,1,1,23,1,1,1,1,40
17,20220205235243,1,360,2,1,2,1,299,3,1,7,1,16,1,1,1,1,1,1,13,1,17,2,1,4,1,1,1,1,5,2,0,39,2,1,6,1,1,3,1,1,1,1,1,23,1,1,1,1,40
18,20220206235306,1,364,2,1,2,1,299,3,1,7,1,16,1,1,1,1,1,1,13,1,17,2,1,4,1,1,1,1,5,2,0,38,2,1,6,1,1,3,1,1,1,1,1,23,1,1,1,1,40
19,20220207234947,1,361,2,1,2,1,299,3,1,7,1,16,1,1,1,1,1,1,13,1,17,2,1,4,1,1,1,1,5,2,0,38,2,1,6,1,1,3,1,1,1,1,1,23,1,1,1,1,40
