,Timestamp,//article[1]/div[1]/div[1]/aside[1]/div[1]/ul[1]/li[1]/div[1]_RELOC,class nameproject-icon_SEL,"xpath//*[@id=""pg_index""]/div[4]/article/div/div/aside/div/ul/li/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" social "")]/span[2]/span[1]_RELOC","xpath//*[@id=""offCanvas""]/ul/li[8]/span[2]/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" intro "")]/div[2]_RELOC",class namerow_SEL,"xpath//*[@id=""pg_index""]/div[4]/article/header/div[2]_SEL","//*[@id=""messages""]_RELOC",idmessages_SEL,"xpath//*[@id=""messages""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" dropdown-with-pane "")]/li[14]_RELOC",class namepane-parent_SEL,"xpath//*[@id=""pg_index""]/div[4]/div/section[3]/nav/div/div[2]/ul/li[14]_SEL",//article[1]/div[4]/div[2]/aside[1]/div[1]/ul[1]/li[25]_RELOC,"xpath//*[@id=""pg_index""]/div[4]/article/div[4]/div[2]/aside/div/ul/li[25]_SEL",//article[1]/div[3]/div[2]/aside[1]/div[1]/ul[1]/li[1]/div[2]/div[2]_RELOC,class namesummary_SEL,"xpath//*[@id=""pg_index""]/div[4]/article/div[3]/div[2]/aside/div/ul/li/div[2]/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" social-label "")]_RELOC",class namesocial-label_SEL,"xpath//*[@id=""offCanvas""]/ul/li[8]/span_SEL",//article[1]/div[3]/div[1]/aside[1]/div[1]_RELOC,class namebody_SEL,"xpath//*[@id=""pg_index""]/div[4]/article/div[3]/div/aside/div_SEL","//*[@id=""overlay-blockthis-wrapper""]_RELOC",idoverlay-blockthis-wrapper_SEL,"xpath//*[@id=""overlay-blockthis-wrapper""]_SEL",//article[1]/div[1]/div[1]/aside[1]/div[1]/ul[1]/li[2]/div[2]/div[2]_RELOC,class namestats_SEL,"xpath//*[@id=""pg_index""]/div[4]/article/div/div/aside/div/ul/li[2]/div[2]/div[2]_SEL",//article[1]/div[4]/div[2]/aside[1]/div[1]/ul[1]/li[1]_RELOC,"xpath//*[@id=""pg_index""]/div[4]/article/div[4]/div[2]/aside/div/ul/li_SEL",//article[1]/div[2]/div[1]/aside[1]/div[1]/ul[1]/li[1]/div[2]/div[1]_RELOC,class nameresult-heading-texts_SEL,"xpath//*[@id=""pg_index""]/div[4]/article/div[2]/div/aside/div/ul/li/div[2]/div_SEL",//article[1]/div[3]/div[1]/aside[1]/div[1]/ul[1]/li[2]/div[2]/div[2]_RELOC,"xpath//*[@id=""pg_index""]/div[4]/article/div[3]/div/aside/div/ul/li[2]/div[2]/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" dropdown-with-pane "")]/li[2]/div[1]_RELOC",class namesub-pane_SEL,"xpath//*[@id=""pg_index""]/div[4]/div/section[3]/nav/div/div[2]/ul/li[2]/div_SEL",//article[1]/div[4]/div[1]/aside[1]/div[1]/ul[1]/li[6]_RELOC,"xpath//*[@id=""pg_index""]/div[4]/article/div[4]/div/aside/div/ul/li[6]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" dropdown-with-pane "")]/li[13]/div[1]_RELOC","xpath//*[@id=""pg_index""]/div[4]/div/section[3]/nav/div/div[2]/ul/li[13]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" stat-row "")]/div[1]/span[2]_RELOC",class namestat-label_SEL,"xpath//*[@id=""pg_index""]/div[4]/article/header/div[2]/div/div/div/div/span[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" reveal "")]_RELOC",class namereveal_SEL,idccpa-modal_SEL,"xpath//*[@id=""ccpa-modal""]_SEL",//article[1]/div[4]/div[2]/aside[1]/div[1]/ul[1]/li[33]_RELOC,"xpath//*[@id=""pg_index""]/div[4]/article/div[4]/div[2]/aside/div/ul/li[33]_SEL"
0,20220307231935,1,11,33,1,2,1,14,1,1,1,1,1,14,1,1,1,1,9,4,1,1,2,1,6,2,1,1,1,1,2,3,1,33,1,11,2,1,2,1,14,1,1,2,1,1,1,3,2,1,1,1,1,1,1
1,20220308224533,1,11,33,1,2,1,14,1,1,1,1,1,14,1,1,1,1,9,4,1,1,2,1,6,2,1,1,1,1,2,3,1,33,1,11,2,1,2,1,14,1,1,2,1,1,1,3,2,1,1,1,1,1,1
2,20220309092703,1,11,33,1,2,1,14,1,1,1,1,1,14,1,1,1,1,9,4,1,1,2,1,6,2,1,1,1,1,2,3,1,33,1,11,2,1,2,1,14,1,1,2,1,1,1,3,2,1,1,1,1,1,1
3,20220310234101,1,11,0,1,2,1,14,0,1,1,1,1,14,0,1,0,1,9,0,1,1,2,1,6,0,1,1,1,1,2,0,1,0,1,11,0,1,0,1,14,0,1,0,1,0,1,3,0,1,1,1,1,1,0
4,20220311215059,1,11,33,1,2,1,14,1,1,1,1,1,14,1,1,1,1,8,4,1,1,2,1,6,2,1,1,1,1,2,3,1,33,1,11,2,1,2,1,14,1,1,2,1,1,1,3,2,1,1,1,1,1,1
5,20220312193520,1,11,33,1,2,1,14,1,1,1,1,1,14,1,1,1,1,8,4,1,1,2,1,6,2,1,1,1,1,2,2,1,33,1,11,2,0,1,1,14,1,1,2,1,1,1,3,2,1,1,1,1,1,1
6,20220313212235,1,11,33,1,2,1,14,1,1,1,1,1,14,1,1,1,1,9,4,1,1,2,1,6,2,1,1,1,1,2,3,1,33,1,11,2,1,2,1,14,1,1,2,1,1,1,3,2,0,0,0,0,1,1
7,20220314231828,1,11,33,1,2,1,14,1,1,1,1,1,14,1,1,1,1,8,4,1,1,2,1,6,2,1,1,1,1,2,3,1,33,1,11,2,1,2,1,14,1,1,2,1,1,1,3,2,1,1,1,1,1,1
8,20220315222411,1,11,33,1,2,1,14,1,1,1,1,1,14,1,1,1,1,8,4,1,1,2,1,6,2,1,1,1,1,2,3,1,33,1,11,2,1,2,1,14,1,1,2,1,1,1,3,2,0,0,0,0,1,1
9,20220316223839,1,11,33,1,2,1,14,1,1,1,1,1,14,1,1,1,1,8,4,1,1,2,1,6,2,1,1,1,1,2,3,1,33,1,11,2,1,2,1,14,1,1,2,1,1,1,3,2,1,1,1,1,1,1
10,20220317234114,1,11,33,1,2,1,14,1,1,1,1,1,14,1,1,1,1,8,4,1,1,2,1,6,2,1,1,1,1,2,3,1,33,1,11,2,1,2,1,14,1,1,2,1,1,1,3,2,0,0,0,0,1,1
11,20220318234404,1,11,33,1,2,1,14,1,1,1,1,1,14,1,1,1,1,8,4,1,1,2,1,6,2,1,1,1,1,2,3,1,33,1,11,2,1,2,1,14,1,1,2,1,1,1,3,2,1,1,1,1,1,1
12,20220319233642,1,11,33,1,2,1,14,1,1,1,1,1,14,1,1,1,1,9,4,1,1,2,1,6,2,1,1,1,1,2,3,1,33,1,11,2,1,2,1,14,1,1,2,1,1,1,3,2,1,1,1,1,1,1
13,20220320232150,1,11,33,1,2,1,14,1,1,1,1,1,14,1,1,1,1,9,4,1,1,2,1,6,2,1,1,1,1,2,3,1,33,1,11,2,1,2,1,14,1,1,2,1,1,1,3,2,1,1,1,1,1,1
14,20220321230148,1,11,33,1,2,1,14,1,1,1,1,1,14,1,1,1,1,8,4,1,1,2,1,6,2,1,1,1,1,2,3,1,33,1,11,2,1,2,1,14,1,1,2,1,1,1,3,2,1,1,1,1,1,1
15,20220322184716,1,11,33,1,2,1,14,1,1,1,1,1,14,1,1,1,1,8,4,1,1,2,1,6,2,1,1,1,1,2,3,1,33,1,11,2,1,2,1,14,1,1,2,1,1,1,3,2,1,1,1,1,1,1
16,20220323235309,1,11,33,1,2,1,14,1,1,1,1,1,14,1,1,1,1,8,4,1,1,2,1,6,2,1,1,1,1,2,3,1,33,1,11,2,1,2,1,14,1,1,2,1,1,1,3,2,1,1,1,1,1,1
