,Timestamp,"//*[@id=""globalbar""]_RELOC",idglobalbar_SEL,"xpath//*[@id=""globalbar""]_SEL","//*[@data-url=""https://pse.is/39vfy3""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" media-body "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" media-footer "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" list-unstyled "")][1]/li[1]_RELOC","xpath//*[@id=""banner-1_1""]/div/div[3]/div/div/div[2]/ul/li_SEL","//*[@data-slide-to=""0""]_RELOC",class nameactive_SEL,"xpath//*[@id=""banner-1_1""]/ol/li_SEL","//*[@id=""banner-1_2""]/*[@data-slide=""next""][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" sr-only "")][1]_RELOC",class namesr-only_SEL,"xpath//*[@id=""banner-1_2""]/a[2]/span[2]_SEL","//*[@id=""banner-1_1""]/*[@data-slide=""prev""][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" carousel-control-prev-icon "")][1]_RELOC",class namecarousel-control-prev-icon_SEL,"xpath//*[@id=""banner-1_1""]/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" col-10 "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-3 "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" list-unstyled "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" text-gray-40 "")][2]_RELOC",class nametext-gray-40_SEL,xpath//html/body/footer/div/div/div[2]/div[3]/div/div/ul/li[5]_SEL,"//*[@id=""sel_loc_name9""]_RELOC",idsel_loc_name9_SEL,namesel_loc_name9_SEL,"xpath//*[@id=""sel_loc_name9""]_SEL","//*[@id=""jobcat1""]_RELOC",idjobcat1_SEL,namejobcat1_SEL,"xpath//*[@id=""jobcat1""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" col-8 "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" list-inline "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" list-inline-item "")][5]_RELOC",class namelist-inline-item_SEL,xpath//html/body/footer/div/div/div[2]/div/div/div/ul/li[5]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" col-10 "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-3 "")][3]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" list-unstyled "")][1]/li[1]_RELOC",xpath//html/body/footer/div/div/div[2]/div[3]/div[3]/div/ul/li_SEL,"//*[@data-url=""https://bit.ly/2KqPumb""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" media-body "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" media-content "")][1]_RELOC",class namemedia-content_SEL,"xpath//*[@id=""banner-1_1""]/div/div/div/div/div_SEL","//*[@data-url=""http://www.104.com.tw/cfdocs/project/adpda08/ad20210226_25333.htm""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" media-body "")][1]_RELOC",class namemedia-body_SEL,"xpath//*[@id=""banner-1_1""]/div/div[2]/div/div_SEL","//*[@id=""jobcat3""]_RELOC",idjobcat3_SEL,namejobcat3_SEL,"xpath//*[@id=""jobcat3""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" js-job-search-content_link_category "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" list-unstyled "")][1]/li[2]_RELOC",xpath//html/body/article/div/div/div[2]/div[2]/ul/li[2]_SEL,"//*[@id=""sel_main_jobcat1""]_RELOC",idsel_main_jobcat1_SEL,namesel_main_jobcat1_SEL,"xpath//*[@id=""sel_main_jobcat1""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" col-8 "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" list-inline "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" list-inline-item "")][8]_RELOC",xpath//html/body/footer/div/div/div[2]/div/div/div/ul/li[8]_SEL,"//*[@id=""banner-1_1""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" carousel-inner "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" carousel-item "")][4]/*[contains(concat("" "", normalize-space(@class), "" ""), "" media "")][1]_RELOC",class namemedia_SEL,"xpath//*[@id=""banner-1_1""]/div/div[4]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" js-job-search-content_keyword "")]_RELOC",class named-flex_SEL,xpath//html/body/article/div/div/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fade "")]_RELOC",class namemodal_SEL,idoutsideLinkModal_SEL,"xpath//*[@id=""outsideLinkModal""]_SEL","//*[@data-slide-to=""1""]_RELOC","xpath//*[@id=""banner-1_1""]/ol/li[2]_SEL"
0,20210316084624,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20210318091851,1,1,1,0,2,1,6,4,1,6,1,1,3,4,1,3,2,1,1,1,1,1,1,1,1,1,62,4,1,1,0,4,8,0,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,1,1,1,5,1,1,1,1,1,1
2,20210323174448,1,1,1,0,2,1,6,4,1,6,1,1,3,4,1,3,2,1,1,1,1,1,1,1,1,1,62,4,1,1,0,4,8,0,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,1,1,1,5,1,1,1,1,1,1
3,20210325105634,1,1,1,0,2,1,6,4,1,6,1,1,3,4,1,3,2,1,1,1,1,1,1,1,1,1,62,4,1,1,0,4,8,0,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,1,1,1,5,1,1,1,1,1,1
4,20210326104715,1,1,1,0,2,1,6,4,1,6,1,1,3,4,1,3,2,1,1,1,1,1,1,1,1,1,62,4,1,1,0,4,8,0,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,1,1,1,5,1,1,1,1,1,1
5,20210410214430,1,1,1,0,2,1,6,4,1,6,1,1,3,4,1,3,2,1,1,1,1,1,1,1,1,1,62,4,1,1,0,4,8,0,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,1,1,1,5,1,1,1,1,1,1
6,20210411183442,1,1,1,0,2,1,6,4,1,6,1,1,3,4,1,3,2,1,1,1,1,1,1,1,1,1,62,4,1,1,0,4,8,0,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,1,1,1,5,1,1,1,1,1,1
7,20210412235703,1,1,1,0,2,1,6,4,1,6,1,1,3,4,1,3,2,1,1,1,1,1,1,1,1,1,62,4,1,1,0,4,8,0,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,1,1,1,5,1,1,1,1,1,1
8,20210413234911,1,1,1,0,2,1,6,4,1,6,1,1,3,4,1,3,2,1,1,1,1,1,1,1,1,1,62,4,1,1,0,4,8,0,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,1,1,1,5,1,1,1,1,1,1
9,20210414170459,1,1,1,0,2,1,6,4,1,6,1,1,3,4,1,3,2,1,1,1,1,1,1,1,1,1,62,4,1,1,0,4,8,0,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,1,1,1,5,1,1,1,1,1,1
10,20210415234443,1,1,1,0,2,1,6,4,1,6,1,1,3,4,1,3,2,1,1,1,1,1,1,1,1,1,62,4,1,1,0,4,8,0,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,1,1,1,5,1,1,1,1,1,1
11,20210416234519,1,1,1,0,2,1,6,4,1,6,1,1,3,4,1,3,2,1,1,1,1,1,1,1,1,1,62,4,1,1,0,4,8,0,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,1,1,1,5,1,1,1,1,1,1
12,20210419235903,1,1,1,0,2,1,6,4,1,6,1,1,3,4,1,3,2,1,1,1,1,1,1,1,1,1,62,4,1,1,0,4,8,0,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,1,1,1,5,1,1,1,1,1,1
13,20210420205538,1,1,1,0,2,1,6,4,1,6,1,1,3,4,1,3,2,1,1,1,1,1,1,1,1,1,62,4,1,1,0,4,8,0,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,1,1,1,5,1,1,1,1,1,1
14,20210421235933,1,1,1,0,2,1,6,4,1,6,1,1,3,4,1,3,2,1,1,1,1,1,1,1,1,1,62,4,1,1,0,4,8,0,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,1,1,1,5,1,1,1,1,1,1
15,20210422235943,1,1,1,0,2,1,6,4,1,6,1,1,3,4,1,3,2,1,1,1,1,1,1,1,1,1,62,4,1,1,0,4,8,0,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,1,1,1,5,1,1,1,1,1,1
16,20210423001421,1,1,1,0,2,1,6,4,1,6,1,1,3,4,1,3,2,1,1,1,1,1,1,1,1,1,62,4,1,1,0,4,8,0,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,1,1,1,5,1,1,1,1,1,1
17,20210424190534,1,1,1,0,2,1,6,4,0,2,0,1,1,4,1,3,2,1,1,1,1,1,1,1,1,1,62,4,1,1,0,4,8,0,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,1,1,1,5,1,1,1,1,1,1
18,20210425234815,1,1,1,0,2,1,6,4,0,2,0,1,1,4,1,3,2,1,1,1,1,1,1,1,1,1,62,4,1,1,0,4,8,0,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,1,1,1,5,1,1,1,1,1,1
19,20210426222510,1,1,1,0,2,1,6,4,0,2,0,1,1,4,1,3,2,1,1,1,1,1,1,1,1,1,62,4,1,1,0,4,8,0,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,1,1,1,5,1,1,1,1,1,1
